"Authors","Author full names","Author(s) ID","Title","Year","Link","EID"
"Zhang W.; Lopez H.; Boselli L.; Bigini P.; Perez-Potti A.; Xie Z.; Castagnola V.; Cai Q.; Silveira C.P.; De Araujo J.M.; Talamini L.; Panini N.; Ristagno G.; Violatto M.B.; Devineau S.; Monopoli M.P.; Salmona M.; Giannone V.A.; Lara S.; Dawson K.A.; Yan Y.","Zhang, Wei (57225164386); Lopez, Hender (10045157700); Boselli, Luca (57189211568); Bigini, Paolo (55911359200); Perez-Potti, André (57194652939); Xie, Zengchun (57402142800); Castagnola, Valentina (55365406100); Cai, Qi (57193428904); Silveira, Camila P. (56070953400); De Araujo, Joao M. (57213245421); Talamini, Laura (56525113500); Panini, Nicolò (55092127800); Ristagno, Giuseppe (14056769000); Violatto, Martina B. (56008207000); Devineau, Stéphanie (55598058400); Monopoli, Marco P. (20433954400); Salmona, Mario (7005240208); Giannone, Valeria A. (57211690060); Lara, Sandra (57191376407); Dawson, Kenneth A. (7201689900); Yan, Yan (56527548600)","57225164386; 10045157700; 57189211568; 55911359200; 57194652939; 57402142800; 55365406100; 57193428904; 56070953400; 57213245421; 56525113500; 55092127800; 14056769000; 56008207000; 55598058400; 20433954400; 7005240208; 57211690060; 57191376407; 7201689900; 56527548600","A Nanoscale Shape-Discovery Framework Supporting Systematic Investigations of Shape-Dependent Biological Effects and Immunomodulation","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122384070&doi=10.1021%2facsnano.1c10074&partnerID=40&md5=ec15de26aacb7d750cbfcaf5c7f93266","2-s2.0-85122384070"
"Lopes A.; Pereira M.","Lopes, Alba (53865038500); Pereira, Monica (23135826400)","53865038500; 23135826400","Fast DSE of reconfigurable accelerator systems via ensemble machine learning","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106745779&doi=10.1007%2fs10470-021-01885-0&partnerID=40&md5=70e4aa4c190e942df7533a8674240b38","2-s2.0-85106745779"
"Silva-De-Souza W.; Iranfar A.; Bráulio A.; Zapater M.; Xavier-De-Souza S.; Olcoz K.; Atienza D.","Silva-De-Souza, Wellington (57524832900); Iranfar, Arman (56939034300); Bráulio, Anderson (57216688911); Zapater, Marina (39462438800); Xavier-De-Souza, Samuel (59170006300); Olcoz, Katzalin (6603199337); Atienza, David (56259926900)","57524832900; 56939034300; 57216688911; 39462438800; 59170006300; 6603199337; 56259926900","Containergy-a container-based energy and performance profiling tool for next generation workloads","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084292416&doi=10.3390%2fen13092162&partnerID=40&md5=7b9573b3bf1f39e52155b85d950af226","2-s2.0-85084292416"
"Lima D.V.C.; Terrematte P.; Stransky B.; Neto A.D.D.","Lima, Debora V. C. (59001675900); Terrematte, Patrick (40462477300); Stransky, Beatriz (6506177045); Neto, Adriao D. D. (57606728000)","59001675900; 40462477300; 6506177045; 57606728000","An Integrated Data Analysis Using Bioinformatics and Random Forest to Predict Prognosis of Patients With Squamous Cell Lung Cancer","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191318112&doi=10.1109%2fACCESS.2024.3392277&partnerID=40&md5=adf76403e930c802ad82f91a2fb46b25","2-s2.0-85191318112"
"Lima L.; Bedregal B.; Rocha M.; Castillo-Lopez A.; Fernandez J.; Bustince H.","Lima, Lucélia (57213489337); Bedregal, Benjamin (15520790700); Rocha, Marcus (35870253400); Castillo-Lopez, Aitor (57203245484); Fernandez, Javier (57198957963); Bustince, Humberto (55034746100)","57213489337; 15520790700; 35870253400; 57203245484; 57198957963; 55034746100","On some classes of nullnorms and h-pseudo homogeneity","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099386276&doi=10.1016%2fj.fss.2020.12.007&partnerID=40&md5=2c056b9f908abeb5abf77cdf58f3b6f8","2-s2.0-85099386276"
"da Silva T.P.; Batista T.V.; Delicato F.C.; Pires P.F.","da Silva, Thiago Pereira (56732537200); Batista, Thais Vasconcelos (36812228000); Delicato, Flavia Coimbra (55887461400); Pires, Paulo Ferreira (55595376300)","56732537200; 36812228000; 55887461400; 55595376300","An online ensemble method for auto-scaling NFV-based applications in the edge","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191989591&doi=10.1007%2fs10586-024-04465-9&partnerID=40&md5=a268ebc7969cd85c428803888f9f81dc","2-s2.0-85191989591"
"Lage-Freitas A.; Allende-Cid H.; Santana O.; Oliveira-Lage L.","Lage-Freitas, André (57197456656); Allende-Cid, Héctor (57208732887); Santana, Orivaldo (36608982900); Oliveira-Lage, Lívia (57699537200)","57197456656; 57208732887; 36608982900; 57699537200","Predicting Brazilian Court Decisions","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130341039&doi=10.7717%2fpeerj-cs.904&partnerID=40&md5=8e2050d0b4c5317c9ac7b31dce2c3115","2-s2.0-85130341039"
"Brito Oliveira G.A.; Cardoso R.A.; Freire Júnior R.C.S.; Araújo J.A.","Brito Oliveira, Giorgio André (57204290011); Cardoso, Raphael Araújo (56229959800); Freire Júnior, Raimundo Carlos Silverio (36979704500); Araújo, José Alexander (23088276800)","57204290011; 56229959800; 36979704500; 23088276800","A generalized ANN-multiaxial fatigue nonlocal approach to compute fretting fatigue life for aeronautical Al alloys","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146277573&doi=10.1016%2fj.triboint.2023.108250&partnerID=40&md5=89771a784de20e909bcbadfee4600c3b","2-s2.0-85146277573"
"Santos B.S.; Silva I.; Costa D.G.","Santos, Breno Santana (57201699421); Silva, Ivanovitch (36537969500); Costa, Daniel G. (35519411300)","57201699421; 36537969500; 35519411300","Symmetry in Scientific Collaboration Networks: A Study Using Temporal Graph Data Science and Scientometrics","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151734195&doi=10.3390%2fsym15030601&partnerID=40&md5=e01efb4cc4125d9ff8bd073d2523c4b1","2-s2.0-85151734195"
"Feitosa-Neto A.A.; Xavier-Júnior J.C.; Canuto A.M.P.; Oliveira A.C.M.","Feitosa-Neto, Antonino A. (36628950100); Xavier-Júnior, João C. (56366404800); Canuto, Anne M. P. (15022041200); Oliveira, Alexandre C. M. (56851869200)","36628950100; 56366404800; 15022041200; 56851869200","A study of model and hyper-parameter selection strategies for classifier ensembles: a robust analysis on different optimization algorithms and extended results","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094856765&doi=10.1007%2fs11047-020-09816-0&partnerID=40&md5=e2e47548a3db80e64520c0425ba25432","2-s2.0-85094856765"
"Fernandes T.F.S.; Silva R.V.D.O.; Freitas D.L.D.D.; Sanches A.G.; Silva M.B.D.; Cunha Júnior L.C.; Lima K.G.D.; Teixeira G.H.D.A.","Fernandes, Thiago Feliph Silva (57221272600); Silva, Raíssa Vanessa de Oliveira (57384167700); Freitas, Daniel Lucas Dantas de (57210126879); Sanches, Alex Guimarães (55427492000); Silva, Maryelle Barros da (57367917400); Cunha Júnior, Luis Carlos (35067860800); Lima, Kássio Gomes de (59266913100); Teixeira, Gustavo Henrique de Almeida (35612644600)","57221272600; 57384167700; 57210126879; 55427492000; 57367917400; 35067860800; 59266913100; 35612644600","Sex type determination in papaya seeds and leaves using near infrared spectroscopy combined with multivariate techniques and machine learning","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122320370&doi=10.1016%2fj.compag.2021.106674&partnerID=40&md5=13186e7f7133a5c3e88b645d86877849","2-s2.0-85122320370"
"Lins I.D.; Araújo L.M.M.; Maior C.B.S.; Ramos P.M.D.S.; Moura M.J.D.C.; Ferreira-Martins A.J.; Chaves R.; Canabarro A.","Lins, Isis Didier (27467582900); Araújo, Lavínia Maria Mendes (58064571200); Maior, Caio Bezerra Souto (57192872180); Ramos, Plínio Marcio da Silva (57790277100); Moura, Márcio José das Chagas (57120189400); Ferreira-Martins, André Juan (58313735400); Chaves, Rafael (23977564500); Canabarro, Askery (56690175400)","27467582900; 58064571200; 57192872180; 57790277100; 57120189400; 58313735400; 23977564500; 56690175400","Quantum machine learning for drowsiness detection with EEG signals","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191154281&doi=10.1016%2fj.psep.2024.04.032&partnerID=40&md5=121e6dc05af221cc9252bd79d89e4171","2-s2.0-85191154281"
